note_id,publish_time,quality_score,fields,content_type,popularity,topics,topic_vector,total_citations,recent_views_30d,trend_score,overall_quality,engagement_score,professionalism,completeness
note_0001,2025-10-24 13:02:47.835600,0.368268406615292,"['蛋白质结构预测', '机器学习']",最新论文,0.2164799831870576,"[""应用案例"", ""机器学习"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 0, 1]",30,7,0.23333333333333334,0.457,0.229,0.696,0.912
note_0002,2022-03-18 13:02:47.835807,0.56218505028156,['蛋白质结构预测'],最新论文,0.286765300597143,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]",25,5,0.2,0.497,0.367,0.762,0.318
note_0003,2025-05-28 13:02:47.835889,0.6417488722868839,['蛋白质-配体相互作用'],经典方法,0.3510503651110411,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]",30,3,0.1,0.606,0.598,0.594,0.54
note_0004,2026-03-09 13:02:47.835960,0.6559450799745928,"['机器学习', '深度学习']",综述文章,0.6104759182997476,"[""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 0]",56,15,0.26785714285714285,0.652,0.636,0.59,0.736
note_0005,2025-07-19 13:02:47.836026,0.4964091982059473,['分子动力学'],技术教程,0.276054461243666,"[""方法学"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 1, 0]",58,6,0.10344827586206896,0.494,0.585,0.202,0.599
note_0006,2023-06-10 13:02:47.836091,0.2408640844934988,['酶催化'],实验技巧,0.1239130103093669,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]",27,7,0.25925925925925924,0.525,0.686,0.756,0.732
note_0007,2024-12-26 13:02:47.836154,0.7041100106762306,['分子动力学'],技术教程,0.3744046599100787,"[""方法学"", ""分子模拟""]","[0, 1, 0, 0, 0, 0, 1, 0]",27,3,0.1111111111111111,0.641,0.647,0.498,0.605
note_0008,2025-10-20 13:02:47.836238,0.32793093022321,"['蛋白质结构预测', '机器学习']",技术教程,0.1921011103335163,"[""机器学习"", ""方法学"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 1, 0]",29,3,0.10344827586206896,0.453,0.39,0.747,0.618
note_0009,2025-11-20 13:02:47.836308,0.7237448551265501,"['蛋白质结构预测', '机器学习']",算法解读,0.4376736262092824,"[""机器学习"", ""结构预测""]","[1, 0, 1, 0, 0, 0, 0, 0]",47,8,0.1702127659574468,0.675,0.723,0.527,0.599
note_0010,2025-05-16 13:02:47.836372,0.5960969638065609,['酶催化'],经典方法,0.3250580017053455,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]",0,0,0.0,0.633,0.415,0.903,0.898
note_0011,2025-05-05 13:02:47.836434,0.5753790211631175,['酶催化'],应用案例,0.312853821307169,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]",10,1,0.1,0.371,0.125,0.375,0.315
note_0012,2023-07-03 13:02:47.836495,0.8962314913425016,['蛋白质-配体相互作用'],经典方法,0.461365729072231,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]",52,9,0.17307692307692307,0.62,0.082,0.818,0.76
note_0013,2025-05-16 13:02:47.836561,0.3622007918429329,['蛋白质-配体相互作用'],综述文章,0.1974735342770616,"[""实验技术""]","[0, 0, 0, 1, 0, 0, 0, 0]",48,6,0.125,0.555,0.696,0.705,0.638
note_0014,2022-10-31 13:02:47.836636,0.8106276724970612,['蛋白质结构预测'],最新论文,0.4149647456889059,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]",36,7,0.19444444444444445,0.708,0.868,0.539,0.281
note_0015,2025-08-10 13:02:47.836706,0.8788455793499869,['酶催化'],应用案例,0.4931662280906581,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]",38,8,0.21052631578947367,0.681,0.659,0.619,0.26
note_0016,2024-06-22 13:02:47.836768,0.888768476965741,['AlphaFold'],技术教程,0.4645988327019058,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]",48,6,0.125,0.72,0.367,0.771,0.925
note_0017,2025-11-09 13:02:47.836827,0.8739331884550636,"['蛋白质-配体相互作用', '酶催化']",技术教程,0.5219718585153715,"[""方法学""]","[0, 0, 0, 0, 0, 0, 1, 0]",39,9,0.23076923076923078,0.662,0.416,0.47,0.784
note_0018,2026-03-11 13:02:47.836889,0.7783312659332009,['机器学习'],最新论文,0.7454152100224085,"[""应用案例"", ""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 1]",68,12,0.17647058823529413,0.552,0.354,0.186,0.708
note_0019,2025-11-15 13:02:47.836950,0.5145092097640571,['蛋白质结构预测'],技术教程,0.3093689509775796,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]",29,3,0.10344827586206896,0.596,0.562,0.684,0.791
note_0020,2024-11-23 13:02:47.837011,0.8492535453798231,"['酶催化', '蛋白质折叠']",应用案例,0.4498447560888391,"[""应用案例"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 1]",22,6,0.2727272727272727,0.71,0.62,0.68,0.546
note_0021,2023-09-02 13:02:47.837070,0.4557037247250147,['蛋白质折叠'],经典方法,0.2350225118341125,"[""方法学"", ""结构预测""]","[1, 0, 0, 0, 0, 0, 1, 0]",39,6,0.15384615384615385,0.406,0.305,0.204,0.679
note_0022,2024-08-19 13:02:47.837133,0.5665215173896765,['蛋白质结构预测'],算法解读,0.2973904036688647,"[""结构预测""]","[1, 0, 0, 0, 0, 0, 0, 0]",4,0,0.0,0.487,0.545,0.427,0.216
note_0023,2025-02-01 13:02:47.837214,0.5859428611834739,"['深度学习', '酶催化']",综述文章,0.313175879619363,"[""机器学习""]","[0, 0, 1, 0, 0, 0, 0, 0]",4,1,0.25,0.596,0.463,0.773,0.71
note_0024,2024-11-18 13:02:47.837288,0.6246219329610725,['蛋白质-配体相互作用'],应用案例,0.3306719399900079,"[""应用案例""]","[0, 0, 0, 0, 0, 0, 0, 1]",36,9,0.25,0.456,0.265,0.5,0.346
